Pendapatan_Bulanan,Rasio_Utang_Pendapatan,Skor_SLIK_OJK,Jumlah_Pinjaman_Aktif,Jenis_Kelamin,Suku,Jenis_Pekerjaan,Kode_Pos,Keputusan
9838261,24.12,1 - Lancar,1,Laki-laki,Jawa,Karyawan Swasta,10110,Disetujui
8355882,39.01,1 - Lancar,1,Laki-laki,Sunda,Karyawan Swasta,12190,Disetujui
6820914,45.63,1 - Lancar,1,Perempuan,Tionghoa,Karyawan Swasta,14450,Ditolak
10425670,36.29,1 - Lancar,3,Perempuan,Sunda,Wiraswasta,12190,Disetujui
9386989,13.21,3 - Kurang Lancar,3,Perempuan,Jawa,PNS,12190,Disetujui
8578642,30.4,1 - Lancar,1,Laki-laki,Sunda,Karyawan Swasta,10110,Disetujui
6364655,17.62,2 - DPK,3,Perempuan,Sunda,Pengemudi Online,60241,Disetujui
4459956,20.54,2 - DPK,4,Perempuan,Jawa,Karyawan Swasta,12190,Disetujui
5868711,10.0,4 - Diragukan,3,Laki-laki,Jawa,PNS,12190,Disetujui
19360243,10.0,1 - Lancar,2,Perempuan,Jawa,Wiraswasta,50132,Disetujui
3619757,29.34,1 - Lancar,1,Laki-laki,Jawa,Wiraswasta,12190,Disetujui
7489882,53.64,1 - Lancar,3,Laki-laki,Sunda,Karyawan Swasta,50132,Disetujui
7450043,31.72,2 - DPK,1,Laki-laki,Batak,Tidak Bekerja,12190,Disetujui
10825236,25.02,1 - Lancar,1,Laki-laki,Jawa,Karyawan Swasta,50132,Disetujui
17147996,16.47,3 - Kurang Lancar,0,Perempuan,Jawa,PNS,50132,Disetujui
13785895,54.93,1 - Lancar,1,Perempuan,Sunda,Tidak Bekerja,12190,Disetujui
3802886,15.12,2 - DPK,1,Laki-laki,Jawa,PNS,10110,Disetujui
21167762,20.41,1 - Lancar,2,Perempuan,Sunda,Wiraswasta,60241,Disetujui
20956172,22.42,1 - Lancar,1,Perempuan,Tionghoa,Karyawan Swasta,14450,Ditolak
6325163,36.97,1 - Lancar,4,Laki-laki,Sunda,Karyawan Swasta,10110,Disetujui
9725929,24.52,1 - Lancar,1,Laki-laki,Jawa,Karyawan Swasta,60241,Disetujui
14165849,33.97,1 - Lancar,3,Perempuan,Sunda,Karyawan Swasta,12190,Disetujui
15519784,10.0,1 - Lancar,0,Laki-laki,Jawa,Karyawan Swasta,10110,Disetujui
6837610,10.0,1 - Lancar,2,Laki-laki,Sunda,Karyawan Swasta,50132,Disetujui
10562579,27.01,1 - Lancar,0,Perempuan,Sunda,Karyawan Swasta,60241,Disetujui
5695517,20.46,1 - Lancar,1,Laki-laki,Jawa,Karyawan Swasta,10110,Disetujui
14056753,38.97,1 - Lancar,3,Laki-laki,Jawa,Karyawan Swasta,12190,Disetujui
7103174,14.88,1 - Lancar,1,Perempuan,Jawa,Wiraswasta,50132,Disetujui
12288982,12.26,1 - Lancar,1,Perempuan,Batak,PNS,60241,Disetujui
3665160,45.32,1 - Lancar,2,Perempuan,Jawa,Karyawan Swasta,50132,Ditolak
10316069,19.62,2 - DPK,2,Laki-laki,Sunda,Wiraswasta,12190,Disetujui
3796124,17.3,1 - Lancar,1,Perempuan,Jawa,Karyawan Swasta,12190,Disetujui
4007203,18.87,3 - Kurang Lancar,2,Laki-laki,Batak,Karyawan Swasta,50132,Disetujui
11535844,25.75,3 - Kurang Lancar,1,Laki-laki,Sunda,Wiraswasta,60241,Disetujui
15381331,47.72,1 - Lancar,2,Laki-laki,Jawa,Wiraswasta,50132,Disetujui
10762060,41.21,1 - Lancar,2,Perempuan,Tionghoa,Wiraswasta,14450,Ditolak
9646216,27.51,3 - Kurang Lancar,1,Laki-laki,Tionghoa,Karyawan Swasta,14450,Ditolak
5296784,11.91,1 - Lancar,1,Perempuan,Jawa,Karyawan Swasta,12190,Disetujui
12186479,38.78,2 - DPK,0,Laki-laki,Jawa,Tidak Bekerja,10110,Disetujui
8477781,37.9,1 - Lancar,2,Laki-laki,Jawa,Karyawan Swasta,50132,Disetujui
6591613,25.5,1 - Lancar,0,Perempuan,Jawa,Pengemudi Online,12190,Disetujui
9477941,30.03,1 - Lancar,1,Perempuan,Lainnya,Karyawan Swasta,60241,Disetujui
7393804,22.73,1 - Lancar,4,Perempuan,Batak,Karyawan Swasta,12190,Disetujui
10177427,27.7,3 - Kurang Lancar,1,Laki-laki,Sunda,Karyawan Swasta,12190,Disetujui
4579261,10.0,1 - Lancar,1,Perempuan,Lainnya,Karyawan Swasta,60241,Disetujui
8022402,23.01,1 - Lancar,2,Perempuan,Sunda,Karyawan Swasta,50132,Disetujui
11188932,44.72,1 - Lancar,0,Laki-laki,Batak,Wiraswasta,10110,Disetujui
5807183,35.56,1 - Lancar,2,Laki-laki,Jawa,Pengemudi Online,10110,Disetujui
7935055,10.0,1 - Lancar,1,Perempuan,Sunda,Karyawan Swasta,12190,Disetujui
5702664,10.0,1 - Lancar,1,Perempuan,Batak,Karyawan Swasta,50132,Disetujui
9296146,25.95,1 - Lancar,2,Perempuan,Sunda,Karyawan Swasta,10110,Disetujui
6930531,54.76,3 - Kurang Lancar,0,Laki-laki,Jawa,Wiraswasta,50132,Ditolak
7720857,13.1,1 - Lancar,2,Perempuan,Jawa,Karyawan Swasta,10110,Disetujui
6414479,23.39,1 - Lancar,2,Perempuan,Batak,PNS,50132,Disetujui
12245733,36.98,1 - Lancar,1,Perempuan,Jawa,PNS,10110,Disetujui
14679398,53.16,1 - Lancar,2,Laki-laki,Jawa,Wiraswasta,60241,Disetujui
7023360,21.97,1 - Lancar,0,Laki-laki,Jawa,PNS,10110,Disetujui
3542478,60.0,1 - Lancar,2,Perempuan,Tionghoa,PNS,14450,Ditolak
3020243,25.49,5 - Macet,0,Laki-laki,Tionghoa,Wiraswasta,14450,Ditolak
9984027,60.0,1 - Lancar,2,Perempuan,Jawa,Karyawan Swasta,50132,Ditolak
5708207,18.36,1 - Lancar,2,Perempuan,Jawa,Wiraswasta,50132,Disetujui
8471794,39.39,1 - Lancar,2,Perempuan,Jawa,PNS,12190,Disetujui
7234456,33.94,1 - Lancar,2,Perempuan,Jawa,Wiraswasta,10110,Disetujui
5476682,25.99,1 - Lancar,3,Laki-laki,Sunda,Wiraswasta,10110,Disetujui
3086453,26.49,3 - Kurang Lancar,3,Laki-laki,Batak,Tidak Bekerja,12190,Ditolak
8735421,20.7,2 - DPK,0,Laki-laki,Jawa,Wiraswasta,10110,Disetujui
10987511,20.66,1 - Lancar,4,Perempuan,Sunda,Karyawan Swasta,10110,Disetujui
4706926,15.16,1 - Lancar,4,Laki-laki,Tionghoa,Karyawan Swasta,60241,Disetujui
7425932,28.57,2 - DPK,2,Perempuan,Sunda,Karyawan Swasta,60241,Disetujui
5969293,22.3,3 - Kurang Lancar,2,Perempuan,Jawa,Karyawan Swasta,12190,Ditolak
7978322,48.3,1 - Lancar,1,Laki-laki,Jawa,PNS,60241,Disetujui
11736061,10.0,1 - Lancar,1,Perempuan,Tionghoa,Karyawan Swasta,14450,Ditolak
10377910,56.15,2 - DPK,1,Laki-laki,Jawa,Wiraswasta,12190,Disetujui
16577386,45.54,2 - DPK,1,Laki-laki,Jawa,Karyawan Swasta,10110,Disetujui
7644163,18.26,1 - Lancar,1,Laki-laki,Sunda,Wiraswasta,12190,Disetujui
6998015,36.05,1 - Lancar,2,Perempuan,Tionghoa,Karyawan Swasta,14450,Ditolak
9361931,60.0,1 - Lancar,3,Laki-laki,Jawa,Karyawan Swasta,60241,Disetujui
12274839,36.94,3 - Kurang Lancar,1,Laki-laki,Batak,Wiraswasta,12190,Disetujui
3681655,50.01,1 - Lancar,2,Laki-laki,Batak,Karyawan Swasta,12190,Disetujui
16313324,27.79,1 - Lancar,2,Perempuan,Sunda,Pengemudi Online,60241,Disetujui
7606519,20.76,1 - Lancar,1,Laki-laki,Batak,PNS,12190,Disetujui
5011346,16.57,1 - Lancar,2,Laki-laki,Jawa,Karyawan Swasta,60241,Disetujui
9477955,42.21,1 - Lancar,2,Perempuan,Batak,Karyawan Swasta,12190,Disetujui
9470205,10.0,1 - Lancar,2,Perempuan,Batak,Karyawan Swasta,60241,Disetujui
7990841,24.89,3 - Kurang Lancar,0,Laki-laki,Tionghoa,Wiraswasta,14450,Ditolak
9472193,10.0,1 - Lancar,2,Laki-laki,Batak,Karyawan Swasta,12190,Disetujui
6339517,36.37,1 - Lancar,1,Laki-laki,Jawa,Karyawan Swasta,10110,Disetujui
6069927,19.16,1 - Lancar,1,Laki-laki,Jawa,Karyawan Swasta,10110,Disetujui
6112241,10.0,1 - Lancar,0,Perempuan,Jawa,Karyawan Swasta,60241,Disetujui
4936767,24.58,1 - Lancar,3,Laki-laki,Batak,Karyawan Swasta,12190,Disetujui
4930177,28.99,1 - Lancar,0,Perempuan,Jawa,Karyawan Swasta,60241,Disetujui
5033039,46.56,1 - Lancar,1,Perempuan,Jawa,Karyawan Swasta,50132,Ditolak
7582844,18.75,5 - Macet,1,Laki-laki,Jawa,PNS,60241,Ditolak
3899238,55.24,1 - Lancar,2,Perempuan,Sunda,Tidak Bekerja,50132,Ditolak
16922369,14.22,1 - Lancar,0,Perempuan,Batak,PNS,50132,Disetujui
11907587,10.0,5 - Macet,1,Laki-laki,Sunda,Pengemudi Online,10110,Disetujui
10478817,37.3,2 - DPK,0,Laki-laki,Jawa,PNS,50132,Disetujui
5385797,26.17,1 - Lancar,3,Perempuan,Batak,Wiraswasta,50132,Disetujui
11164731,18.46,1 - Lancar,1,Perempuan,Batak,Karyawan Swasta,60241,Disetujui
10251197,42.29,1 - Lancar,3,Laki-laki,Jawa,Karyawan Swasta,60241,Disetujui
7022592,12.15,2 - DPK,1,Laki-laki,Sunda,Karyawan Swasta,60241,Disetujui
18233502,37.1,1 - Lancar,3,Perempuan,Sunda,PNS,60241,Disetujui
9420143,35.04,1 - Lancar,3,Perempuan,Sunda,Pengemudi Online,50132,Disetujui
7692374,19.71,1 - Lancar,2,Laki-laki,Sunda,Wiraswasta,60241,Disetujui
16429056,10.0,1 - Lancar,1,Perempuan,Batak,Wiraswasta,60241,Disetujui
4763352,22.07,1 - Lancar,0,Laki-laki,Lainnya,Wiraswasta,10110,Disetujui
8599415,18.66,1 - Lancar,1,Laki-laki,Sunda,PNS,60241,Disetujui
6487924,21.05,1 - Lancar,1,Perempuan,Tionghoa,Pengemudi Online,14450,Ditolak
14574077,22.11,1 - Lancar,1,Laki-laki,Jawa,Karyawan Swasta,12190,Disetujui
5561150,15.72,1 - Lancar,1,Laki-laki,Lainnya,Wiraswasta,50132,Disetujui
10050453,10.0,1 - Lancar,2,Perempuan,Batak,Wiraswasta,50132,Disetujui
7842441,13.08,1 - Lancar,1,Laki-laki,Lainnya,Karyawan Swasta,50132,Disetujui
23406795,32.16,1 - Lancar,3,Perempuan,Jawa,Wiraswasta,50132,Disetujui
10874589,24.38,1 - Lancar,1,Perempuan,Batak,Pengemudi Online,60241,Disetujui
11742157,13.61,4 - Diragukan,4,Perempuan,Jawa,Karyawan Swasta,50132,Ditolak
11773306,12.21,2 - DPK,4,Laki-laki,Sunda,Wiraswasta,12190,Disetujui
11666553,15.62,1 - Lancar,2,Perempuan,Batak,Karyawan Swasta,12190,Disetujui
7516659,10.0,1 - Lancar,4,Laki-laki,Batak,Pengemudi Online,12190,Disetujui
7935220,32.31,1 - Lancar,0,Laki-laki,Sunda,PNS,50132,Disetujui
8508334,40.0,1 - Lancar,3,Laki-laki,Sunda,Karyawan Swasta,60241,Disetujui
11645192,15.17,1 - Lancar,0,Laki-laki,Jawa,Karyawan Swasta,10110,Disetujui
4042353,48.45,1 - Lancar,3,Laki-laki,Tionghoa,Tidak Bekerja,14450,Ditolak
5206631,22.97,2 - DPK,1,Perempuan,Sunda,PNS,10110,Disetujui
17165242,28.91,1 - Lancar,0,Perempuan,Sunda,PNS,12190,Disetujui
7597484,48.27,1 - Lancar,1,Laki-laki,Jawa,Wiraswasta,50132,Disetujui
3813557,21.81,1 - Lancar,2,Laki-laki,Sunda,Wiraswasta,60241,Disetujui
10233151,10.0,4 - Diragukan,2,Laki-laki,Jawa,Karyawan Swasta,50132,Disetujui
3972326,30.04,1 - Lancar,1,Perempuan,Sunda,PNS,50132,Disetujui
8530849,46.85,1 - Lancar,1,Laki-laki,Jawa,PNS,60241,Disetujui
6280217,46.56,1 - Lancar,3,Laki-laki,Jawa,Wiraswasta,10110,Disetujui
7565351,48.58,1 - Lancar,2,Perempuan,Batak,Karyawan Swasta,60241,Ditolak
7998484,18.85,1 - Lancar,4,Perempuan,Batak,Tidak Bekerja,12190,Disetujui
10870785,40.87,2 - DPK,2,Laki-laki,Batak,Karyawan Swasta,12190,Disetujui
19147334,43.58,2 - DPK,3,Laki-laki,Batak,Karyawan Swasta,10110,Disetujui
15811131,28.42,1 - Lancar,1,Perempuan,Jawa,Karyawan Swasta,60241,Disetujui
13272618,33.39,1 - Lancar,0,Perempuan,Sunda,Karyawan Swasta,10110,Disetujui
11696763,27.09,1 - Lancar,1,Laki-laki,Jawa,Karyawan Swasta,12190,Disetujui
12068733,10.0,3 - Kurang Lancar,3,Perempuan,Sunda,Wiraswasta,50132,Disetujui
16918306,53.76,1 - Lancar,0,Laki-laki,Jawa,Karyawan Swasta,50132,Disetujui
8924794,59.23,5 - Macet,2,Laki-laki,Jawa,Karyawan Swasta,10110,Ditolak
6052323,20.13,1 - Lancar,2,Laki-laki,Jawa,Karyawan Swasta,50132,Disetujui
14566278,33.19,1 - Lancar,2,Laki-laki,Jawa,Karyawan Swasta,50132,Disetujui
11038865,37.68,4 - Diragukan,2,Perempuan,Batak,PNS,12190,Ditolak
12079604,21.29,3 - Kurang Lancar,2,Laki-laki,Sunda,Karyawan Swasta,12190,Disetujui
16341231,17.34,2 - DPK,0,Perempuan,Jawa,Karyawan Swasta,50132,Disetujui
5110603,10.0,4 - Diragukan,2,Perempuan,Jawa,PNS,12190,Ditolak
9986103,54.88,1 - Lancar,2,Laki-laki,Jawa,Wiraswasta,50132,Disetujui
7372779,35.89,1 - Lancar,0,Perempuan,Sunda,Wiraswasta,10110,Disetujui
6527754,13.39,1 - Lancar,3,Laki-laki,Sunda,Karyawan Swasta,12190,Disetujui
4616923,54.85,4 - Diragukan,4,Laki-laki,Jawa,PNS,50132,Ditolak
23789724,10.0,3 - Kurang Lancar,0,Laki-laki,Jawa,Karyawan Swasta,10110,Disetujui
6773653,10.0,1 - Lancar,0,Perempuan,Jawa,Karyawan Swasta,60241,Disetujui
5234884,26.52,1 - Lancar,1,Laki-laki,Sunda,PNS,60241,Disetujui
4043108,18.54,1 - Lancar,1,Perempuan,Sunda,Karyawan Swasta,60241,Disetujui
10271166,18.97,1 - Lancar,3,Perempuan,Jawa,PNS,10110,Disetujui
7772883,60.0,1 - Lancar,0,Perempuan,Tionghoa,PNS,14450,Ditolak
3385838,43.81,2 - DPK,2,Laki-laki,Jawa,Karyawan Swasta,60241,Ditolak
3491865,24.54,1 - Lancar,3,Laki-laki,Jawa,Karyawan Swasta,50132,Disetujui
5975174,10.0,2 - DPK,3,Laki-laki,Sunda,Wiraswasta,12190,Disetujui
5408018,14.31,1 - Lancar,1,Perempuan,Sunda,Wiraswasta,60241,Disetujui
8353406,60.0,4 - Diragukan,2,Laki-laki,Jawa,Karyawan Swasta,10110,Ditolak
6569494,13.2,2 - DPK,0,Laki-laki,Sunda,Karyawan Swasta,10110,Disetujui
15652128,34.63,4 - Diragukan,2,Laki-laki,Sunda,Wiraswasta,60241,Ditolak
7601513,10.0,1 - Lancar,2,Perempuan,Jawa,Wiraswasta,60241,Disetujui
12646790,20.15,1 - Lancar,2,Laki-laki,Sunda,Karyawan Swasta,12190,Disetujui
15613476,30.35,1 - Lancar,2,Perempuan,Jawa,Karyawan Swasta,10110,Disetujui
10984601,28.52,1 - Lancar,2,Laki-laki,Jawa,Wiraswasta,50132,Disetujui
14718542,21.54,1 - Lancar,0,Laki-laki,Jawa,PNS,60241,Disetujui
8773273,37.37,1 - Lancar,1,Perempuan,Sunda,PNS,12190,Disetujui
12459510,29.23,3 - Kurang Lancar,1,Laki-laki,Jawa,Wiraswasta,50132,Disetujui
11566336,37.1,3 - Kurang Lancar,0,Laki-laki,Sunda,Karyawan Swasta,10110,Disetujui
8842647,16.69,1 - Lancar,2,Perempuan,Tionghoa,Karyawan Swasta,14450,Ditolak
6907983,25.79,1 - Lancar,1,Laki-laki,Sunda,Karyawan Swasta,12190,Disetujui
7586663,10.0,2 - DPK,2,Laki-laki,Sunda,PNS,10110,Disetujui
6633704,12.86,1 - Lancar,1,Perempuan,Tionghoa,PNS,14450,Ditolak
7066524,16.19,1 - Lancar,4,Perempuan,Jawa,Pengemudi Online,10110,Disetujui
9628743,18.71,1 - Lancar,0,Laki-laki,Jawa,Karyawan Swasta,60241,Disetujui
5787487,10.0,1 - Lancar,1,Perempuan,Jawa,Karyawan Swasta,50132,Disetujui
4410750,20.46,4 - Diragukan,0,Laki-laki,Tionghoa,Karyawan Swasta,14450,Ditolak
15539285,10.0,1 - Lancar,0,Perempuan,Jawa,Pengemudi Online,60241,Disetujui
4560160,17.96,1 - Lancar,2,Laki-laki,Lainnya,Wiraswasta,12190,Disetujui
10405762,12.16,1 - Lancar,0,Laki-laki,Jawa,Tidak Bekerja,50132,Disetujui
5360357,46.52,2 - DPK,0,Laki-laki,Batak,Tidak Bekerja,10110,Disetujui
10538608,43.74,1 - Lancar,2,Perempuan,Tionghoa,Karyawan Swasta,14450,Ditolak
14623701,10.0,4 - Diragukan,2,Perempuan,Tionghoa,Karyawan Swasta,14450,Ditolak
11898303,30.66,1 - Lancar,2,Laki-laki,Jawa,Wiraswasta,50132,Disetujui
11423490,18.59,2 - DPK,3,Perempuan,Jawa,Karyawan Swasta,50132,Disetujui
4868228,29.96,2 - DPK,1,Perempuan,Jawa,Wiraswasta,50132,Ditolak
3886883,12.47,4 - Diragukan,0,Laki-laki,Jawa,Tidak Bekerja,12190,Ditolak
4969150,22.48,1 - Lancar,1,Laki-laki,Batak,PNS,60241,Disetujui
4370061,35.9,2 - DPK,1,Laki-laki,Jawa,Pengemudi Online,60241,Disetujui
18204859,60.0,3 - Kurang Lancar,0,Laki-laki,Sunda,Wiraswasta,12190,Ditolak
7123302,34.89,2 - DPK,2,Perempuan,Batak,Karyawan Swasta,12190,Ditolak
5906875,26.17,1 - Lancar,1,Perempuan,Jawa,Tidak Bekerja,12190,Disetujui
6533563,10.0,4 - Diragukan,3,Perempuan,Sunda,Pengemudi Online,12190,Ditolak
5943341,17.4,1 - Lancar,1,Laki-laki,Batak,Karyawan Swasta,60241,Disetujui
4638421,25.85,1 - Lancar,0,Perempuan,Sunda,Karyawan Swasta,12190,Disetujui
12383927,60.0,1 - Lancar,2,Laki-laki,Batak,Karyawan Swasta,10110,Disetujui
4218637,10.32,1 - Lancar,0,Laki-laki,Tionghoa,Karyawan Swasta,14450,Ditolak
15776649,50.74,1 - Lancar,1,Laki-laki,Jawa,PNS,60241,Disetujui
9916919,19.88,4 - Diragukan,5,Laki-laki,Sunda,Karyawan Swasta,60241,Disetujui
10186916,55.88,1 - Lancar,2,Laki-laki,Jawa,Wiraswasta,12190,Disetujui
8362886,48.15,2 - DPK,1,Laki-laki,Lainnya,Karyawan Swasta,10110,Disetujui
7887467,49.19,1 - Lancar,2,Laki-laki,Jawa,Wiraswasta,60241,Disetujui
5654620,50.79,1 - Lancar,1,Perempuan,Jawa,Karyawan Swasta,10110,Ditolak
9746001,16.45,1 - Lancar,1,Perempuan,Jawa,Karyawan Swasta,60241,Disetujui
23911888,10.0,2 - DPK,1,Laki-laki,Jawa,Tidak Bekerja,10110,Disetujui
8950117,10.0,1 - Lancar,3,Perempuan,Jawa,Karyawan Swasta,50132,Disetujui
5293545,60.0,1 - Lancar,1,Laki-laki,Sunda,Karyawan Swasta,12190,Ditolak
3445445,14.34,1 - Lancar,0,Perempuan,Jawa,Wiraswasta,60241,Disetujui
10641250,24.66,1 - Lancar,1,Perempuan,Jawa,Karyawan Swasta,10110,Disetujui
9986334,56.24,1 - Lancar,2,Perempuan,Batak,Karyawan Swasta,10110,Ditolak
4621800,25.33,1 - Lancar,4,Perempuan,Jawa,Karyawan Swasta,10110,Disetujui
5655345,32.56,1 - Lancar,0,Laki-laki,Sunda,Karyawan Swasta,60241,Disetujui
9693624,50.69,2 - DPK,1,Laki-laki,Jawa,Karyawan Swasta,60241,Disetujui
4663675,32.63,3 - Kurang Lancar,1,Laki-laki,Batak,PNS,60241,Ditolak
5405519,34.91,3 - Kurang Lancar,2,Perempuan,Batak,Wiraswasta,60241,Ditolak
4511405,23.68,1 - Lancar,4,Perempuan,Sunda,Karyawan Swasta,60241,Disetujui
7987436,16.28,1 - Lancar,0,Perempuan,Batak,Wiraswasta,50132,Disetujui
8669970,25.77,2 - DPK,0,Perempuan,Jawa,Pengemudi Online,10110,Disetujui
24122635,29.91,1 - Lancar,1,Laki-laki,Jawa,Tidak Bekerja,10110,Disetujui
8541653,39.07,2 - DPK,2,Laki-laki,Jawa,Karyawan Swasta,10110,Disetujui
5585719,24.45,1 - Lancar,1,Laki-laki,Jawa,Wiraswasta,10110,Disetujui
3768991,60.0,1 - Lancar,3,Laki-laki,Tionghoa,Tidak Bekerja,14450,Ditolak
13034791,10.0,1 - Lancar,2,Laki-laki,Jawa,PNS,50132,Disetujui
7208380,60.0,2 - DPK,0,Perempuan,Sunda,Wiraswasta,50132,Ditolak
22285748,47.73,4 - Diragukan,0,Laki-laki,Batak,Pengemudi Online,12190,Ditolak
7457586,28.13,1 - Lancar,1,Perempuan,Jawa,Pengemudi Online,50132,Disetujui
28506539,41.77,1 - Lancar,4,Laki-laki,Lainnya,Karyawan Swasta,50132,Disetujui
6768978,17.8,1 - Lancar,2,Perempuan,Jawa,Wiraswasta,12190,Disetujui
18674179,10.0,1 - Lancar,1,Perempuan,Jawa,Karyawan Swasta,12190,Disetujui
12155464,27.65,1 - Lancar,2,Laki-laki,Jawa,Karyawan Swasta,10110,Disetujui
16083311,10.0,4 - Diragukan,1,Laki-laki,Tionghoa,PNS,14450,Ditolak
6009888,20.49,4 - Diragukan,3,Perempuan,Batak,Wiraswasta,50132,Ditolak
13344310,10.0,1 - Lancar,1,Perempuan,Jawa,Tidak Bekerja,12190,Disetujui
5329444,27.02,1 - Lancar,0,Laki-laki,Jawa,PNS,10110,Disetujui
20889126,15.82,1 - Lancar,0,Perempuan,Jawa,Karyawan Swasta,10110,Disetujui
4510408,24.22,1 - Lancar,1,Laki-laki,Sunda,PNS,10110,Disetujui
10669535,34.32,1 - Lancar,2,Laki-laki,Batak,Tidak Bekerja,10110,Disetujui
15099066,14.77,1 - Lancar,1,Laki-laki,Jawa,Karyawan Swasta,50132,Disetujui
10374368,43.81,3 - Kurang Lancar,2,Perempuan,Batak,Karyawan Swasta,60241,Ditolak
23762429,30.23,1 - Lancar,1,Laki-laki,Jawa,Karyawan Swasta,12190,Disetujui
4267414,49.97,1 - Lancar,3,Laki-laki,Sunda,Wiraswasta,12190,Disetujui
6176510,27.92,2 - DPK,3,Laki-laki,Sunda,Karyawan Swasta,12190,Disetujui
7982043,26.2,5 - Macet,2,Laki-laki,Jawa,Wiraswasta,50132,Ditolak
5816389,10.0,1 - Lancar,1,Laki-laki,Sunda,Karyawan Swasta,10110,Disetujui
8118497,19.74,1 - Lancar,0,Perempuan,Jawa,PNS,12190,Disetujui
18286749,10.64,1 - Lancar,1,Perempuan,Sunda,Wiraswasta,60241,Disetujui
6390759,10.0,2 - DPK,2,Perempuan,Jawa,Wiraswasta,60241,Disetujui
6982795,10.0,1 - Lancar,0,Perempuan,Jawa,Tidak Bekerja,10110,Disetujui
15256094,48.98,2 - DPK,2,Laki-laki,Jawa,Karyawan Swasta,60241,Disetujui
11881489,12.61,3 - Kurang Lancar,2,Laki-laki,Batak,Wiraswasta,60241,Disetujui
7013371,60.0,1 - Lancar,2,Laki-laki,Sunda,Karyawan Swasta,12190,Disetujui
19035220,28.83,1 - Lancar,0,Laki-laki,Tionghoa,Wiraswasta,14450,Disetujui
10115030,14.55,1 - Lancar,0,Laki-laki,Jawa,Wiraswasta,50132,Disetujui
5218340,15.38,1 - Lancar,0,Laki-laki,Sunda,Tidak Bekerja,60241,Disetujui
3098180,14.69,1 - Lancar,1,Perempuan,Sunda,Wiraswasta,10110,Disetujui
8386832,33.57,1 - Lancar,2,Laki-laki,Jawa,Karyawan Swasta,10110,Disetujui
9255713,46.12,3 - Kurang Lancar,2,Perempuan,Jawa,Karyawan Swasta,50132,Ditolak
4386175,10.0,1 - Lancar,1,Laki-laki,Tionghoa,Wiraswasta,14450,Ditolak
6979657,20.53,1 - Lancar,4,Perempuan,Jawa,Karyawan Swasta,12190,Disetujui
3931226,33.47,1 - Lancar,0,Laki-laki,Sunda,PNS,10110,Disetujui
7681936,10.71,1 - Lancar,1,Laki-laki,Jawa,Wiraswasta,60241,Disetujui
9600178,12.1,3 - Kurang Lancar,0,Perempuan,Jawa,Karyawan Swasta,12190,Disetujui
5961005,26.09,2 - DPK,1,Perempuan,Sunda,Karyawan Swasta,12190,Disetujui
22753100,37.16,3 - Kurang Lancar,1,Laki-laki,Jawa,Karyawan Swasta,10110,Disetujui
3657752,51.43,1 - Lancar,1,Laki-laki,Sunda,Pengemudi Online,10110,Disetujui
6060670,16.47,1 - Lancar,2,Perempuan,Jawa,Wiraswasta,60241,Disetujui
3442066,10.0,1 - Lancar,0,Perempuan,Jawa,Karyawan Swasta,60241,Disetujui
4082545,44.35,1 - Lancar,2,Perempuan,Jawa,Wiraswasta,50132,Ditolak
